epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,400.329,0.80698,0.91446,1.06383,0.88872,0.88889,0.83877,0.5829,1.18758,1.32202,1.37374,0.000317,0.000317,0.000317
87,405.038,0.85407,0.90077,1.16232,0.88872,0.88889,0.83877,0.5829,1.18758,1.32202,1.37374,0.0002972,0.0002972,0.0002972
88,409.441,0.98216,0.98702,1.19445,0.79099,0.88889,0.84863,0.59589,1.21275,1.16347,1.35801,0.0002774,0.0002774,0.0002774
89,413.794,0.87332,1.05022,1.09026,0.79099,0.88889,0.84863,0.59589,1.21275,1.16347,1.35801,0.0002576,0.0002576,0.0002576
90,418.35,0.93257,0.93349,1.11418,0.79731,0.88889,0.85738,0.56918,1.25168,1.15792,1.38658,0.0002378,0.0002378,0.0002378
91,433.794,0.69745,1.00957,0.92749,0.79731,0.88889,0.85738,0.56918,1.25168,1.15792,1.38658,0.000218,0.000218,0.000218
92,438.191,0.68011,1.04491,0.94199,0.79731,0.88889,0.85738,0.56918,1.25168,1.15792,1.38658,0.0001982,0.0001982,0.0001982
93,442.683,0.7094,0.92158,0.90442,0.88718,1,0.8955,0.55016,1.29048,1.22347,1.41532,0.0001784,0.0001784,0.0001784
94,446.936,0.66079,0.99918,0.94868,0.88718,1,0.8955,0.55016,1.29048,1.22347,1.41532,0.0001586,0.0001586,0.0001586
95,451.399,0.72097,0.954,0.91871,0.80365,1,0.85813,0.52636,1.3576,1.26346,1.47992,0.0001388,0.0001388,0.0001388
96,455.755,0.60061,0.83872,0.94435,0.80365,1,0.85813,0.52636,1.3576,1.26346,1.47992,0.000119,0.000119,0.000119
97,460.355,0.69131,0.96956,0.95527,0.80365,1,0.85813,0.52636,1.3576,1.26346,1.47992,9.92e-05,9.92e-05,9.92e-05
98,464.792,0.74972,1.09097,0.93482,0.80496,1,0.85813,0.52256,1.30997,1.23222,1.44838,7.94e-05,7.94e-05,7.94e-05
99,469.122,0.68309,0.95486,0.94906,0.80496,1,0.85813,0.52256,1.30997,1.23222,1.44838,5.96e-05,5.96e-05,5.96e-05
100,473.631,0.64677,0.89593,0.93561,0.79909,1,0.87667,0.53366,1.28485,1.26691,1.42926,3.98e-05,3.98e-05,3.98e-05
